#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-4098.35,100,146.641133
-5303.01,100,146.934179
-5605.19,100,147.178065
-5292.9,81,147.349393
-6202.2,100,147.57051
-3729.94,71,147.748331
-4650.43,94,147.968702
-4510.57,100,148.195895
-4331.81,90,148.410513
-3000.21,63,148.547613
-5192.59,100,148.761946
295.94,4,148.771124
-6703.6,100,148.983595
-5303.04,100,149.205555
-4497.51,100,149.50365
-3153.51,54,149.658265
-1980.89,40,149.779362
-5597.78,100,150.033615
-2089.44,42,150.131921
-5110.14,85,150.438767
-4094.9,100,150.782043
-4399.27,100,151.086203
-5598.88,100,151.355257
-5504.47,100,151.637057
-4418.14,86,152.002634
-5001.44,100,152.252376
-5297.56,100,152.470333
-6495.45,100,152.725616
-5289.79,100,152.932858
-5099.43,100,153.150312
-6291.76,100,153.357701
173.78,8,153.373652
-6089.43,100,153.583364
-5304.42,100,153.790887
-3401.25,85,153.980198
-1699.33,44,154.094502
-4497.76,100,154.321801
-4852.77,74,154.497178
-4994.27,100,154.722234
-5172.82,77,154.891844
-5040.62,91,155.092594
-6403.56,100,155.306831
-344.31,12,155.333986
-5794.23,100,155.561124
-4899.56,100,155.79765
505.99,1,155.79765
-5300.14,100,156.019258
159.44,11,156.048765
-2674.79,79,156.237002
-2268.83,58,156.368192
-1132.58,29,156.437071
-2763.88,76,156.603307
-4893.25,100,156.833334
-5195.87,100,157.06576
-6002.88,100,157.298834
-6101.19,100,157.522421
-2203.57,45,157.626775
-5955.57,94,157.823328
-3496.28,64,157.956965
-4807.81,100,158.194789
-445.31,12,158.21825
-3695.28,100,158.433222
-4299.43,100,158.652995
-3694.21,100,158.883839
-153.75,15,158.925298
-5292.24,100,159.156473
-4503.75,100,159.405479
-3036.36,71,159.571496
-4062.25,76,159.749022
-4498.36,100,159.981112
-5203.53,100,160.199865
-5392.79,100,160.423533
-4902.74,100,160.645322
-4998.65,100,160.861927
-470.76,17,160.894408
-5290.09,100,161.111163
-907.75,25,161.165799
-5699.21,100,161.386266
-7102.57,100,161.601726
-1150.78,35,161.684263
-2926.88,70,161.836959
-6099.12,100,162.066961
-4904.48,100,162.283893
-2896.59,43,162.375994
-4395.11,100,162.591034
-4094.86,62,162.714824
-26.16,8,162.734648
-4842.77,91,162.931765
-3081.24,60,163.072376
-1001.63,24,163.125659
-6495.98,100,163.328331
500.94,3,163.341388
-5402.61,100,163.544049
-1112.64,25,163.588404
-4101.57,65,163.728938
-5798.6,100,163.929709
-5995.76,100,164.133976
-4231.12,88,164.32066
-3792.42,100,164.525882
-5316.25,88,164.697084
-4986.24,100,164.896829
-4036.5,92,165.078966
505.99,1,165.079966
-5593.27,100,165.275503
-992.75,21,165.314434
-358.57,15,165.344308
-4992.75,100,165.552863
-1857.88,35,165.625225
-1375.88,39,165.697081
-137.28,10,165.719456
505.99,1,165.719456
66.72,10,165.743278
-4895.51,100,165.935363
-3992.99,100,166.13192
-2564.24,57,166.240722
-1684.87,40,166.316313
-4835.04,89,166.507189
-697.67,23,166.557073
-996.75,25,166.607069
-5507.39,100,166.806972
-5300.59,100,167.014288
-901.09,23,167.07006
-6205.1,100,167.274276
-6897.06,100,167.48698
-191.61,22,167.526487
-4998.57,100,167.729789
-2289.25,41,167.812586
-6160.44,94,167.997188
-6195.97,100,168.184022
-5696.87,100,168.385314
-4596.63,100,168.593034
278.83,7,168.608401
-5100.03,100,168.815051
-4490.84,100,169.018978
-4380.3,100,169.219445
-5970.39,96,169.416211
-1696.36,42,169.501341
-5899.99,100,169.699537
-5499.37,100,169.894007
-2084.34,41,169.980978
-2591.15,42,170.059104
-5696.54,100,170.265221
-6005.02,100,170.455226
-1011.43,26,170.511152
-2940.18,51,170.60522
-922.33,28,170.658682
-5697.54,100,170.855256
-5588.53,100,171.060501
-5621.99,88,171.235409
-5393.88,100,171.433704
-5601.02,100,171.63236
-4900.5,100,171.836494
-5697.62,100,172.035618
-5297.21,100,172.248717
-6298.8,100,172.438181
-2148.32,53,172.549783
397.95,3,172.551291
-5244.82,93,172.732873
-1735.58,53,172.837693
-4292.65,100,173.034954
